cde_id,cde_name,variable_name,aliases,cde_definition,cde_source,bundle_name,steward_org,registration_status,keywords,preferred_question_text,cde_data_type,sources_data_type,detail_element_type,detail_nih_endorsed,ninds_raw_disease_specific_instructions,ninds_raw_input_restrictions,cde_origin,pv_codes,pv_labels,pv_definitions,pv_code_systems,pv_concept_identifiers,pv_terminology_sources,unit_of_measure,size,min_value,max_value,population,nlm_identifier,other_identifiers,cdisc_domain,cdisc_variable_name,cdisc_variable_label,dec_identifier,dec_terminology_source,dec_name,ninds_disease_specific_reference,ninds_version_number,ninds_version_date,version_date_flag,additional_instructions,disease_epilepsy,classification_epilepsy,disease_agnostic,classification_agnostic,disease_neurotrauma,classification_neurotrauma,disease_tbi,classification_tbi,disease_pte,classification_pte,disease_sci,classification_sci,domain,subdomain,category,pte_crf_name,copyright,pte_workinggroup,notes,status,cde_id_verified
C07147,Disability Rating Scale (DRS) - eye opening scale,DRSEyeOpnngScale,,Scale for the participant's ability to open the eye as part of the Disability Rating Scale (DRS),NINDS,DRS,NINDS,,,EYE OPENING,Value List,Numeric Values,,,Refer to instructions on form.,Single Pre-Defined Value Selected,collected,0|1|2|3,0=Spontaneous|1=To Speech|2=To Pain|3=None,"0-SPONTANEOUS: eyes open with sleep/wake rhythms indicating active arousal mechanisms, does not assume awareness.| 1-TO SPEECH AND/OR SENSORY STIMULATION: a response to any verbal approach, whether spoken or shouted, not necessarily the command to open the eyes. Also, response to touch, mild pressure.| 2-TO PAIN: tested by a painful stimulus.|3-NONE: no eye opening even to painful stimulation.",,,,,,,,Adult,,NINDS:C07147,,,,,,,"Rappaport, M., Hall K.M., Hopkins, K., Belleza, T., Cope, D.N. (1982). Disability Rating Scale for Severe Head Trauma: Coma to Community. Archives of Physical Medicine and Rehabilitation, 63: 118-123.  The COMBI website (http://www.tbims.org/combi/drs/index.html) has further information on the instrument and becoming a certified DRS rater.",3,21:51.5,VERSION_DATE_MALFORMED,,,,,,,,Y,Basic,Y,Recommended,,,Outcomes and End Points,Global Outcome,,DRS,FALSE,CA|BCM,,v2 Joost,UNVERIFIED
C07148,Disability Rating Scale (DRS) - communication ability scale,DRSCommnctnAbltyScale,,Scale for the participant's communication ability as part of the Disability Rating Scale (DRS),NINDS,DRS,NINDS,,,COMMUNICATION ABILITY,Value List,Numeric Values,,,Refer to instructions on form.,Single Pre-Defined Value Selected,collected,0|1|2|3|4,0=Oriented|1=Confused|2=Inappropriate|3=Incomprehensible|4=None,"0-ORIENTED: implies awareness of self and the environment. Patient able to tell you a) who he is; b) where he is; c) why he is there; d) year; e) season; f) month; g) day; h) time of day.|1-CONFUSED: attention can be held and patient responds to questions but responses are delayed and/or indicate varying degrees of disorientation and confusion.|2-INAPPROPRIATE: intelligible articulation but speech is used only in an exclamatory or random way (such as shouting and swearing); no sustained communication exchange is possible.|3-INCOMPREHENSIBLE: moaning, groaning or sounds without recognizable words, no consistent communication signs.|4-NONE: no sounds or communications signs from patient.",,,,,,,,Adult,,NINDS:C07148,,,,,,,"Rappaport, M., Hall K.M., Hopkins, K., Belleza, T., Cope, D.N. (1982). Disability Rating Scale for Severe Head Trauma: Coma to Community. Archives of Physical Medicine and Rehabilitation, 63: 118-123.  The COMBI website (http://www.tbims.org/combi/drs/index.html) has further information on the instrument and becoming a certified DRS rater.",3,21:51.5,VERSION_DATE_MALFORMED,,,,,,,,Y,Basic,Y,Recommended,,,Outcomes and End Points,Global Outcome,,DRS,FALSE,CA|BCM,,v2 Joost,UNVERIFIED
C07149,Disability Rating Scale (DRS) - Motor response disability scale,DRSMotrRespnsDisbltyScale,,"Motor response disability indicator, as part of the Disability Rating Scale (DRS)",NINDS,DRS,NINDS,,,MOTOR RESPONSE,Value List,Numeric Values,,,Refer to instructions on form.,Single Pre-Defined Value Selected,collected,0|1|2|3|4|5,0=Obeying|1=Localizing|2=Withdrawing|3=Flexing|4=Extending|5=None,"0-OBEYING: obeying command to move finger on best side. If no response or not suitable try another command such as “move lips,” “blink eyes,” etc. Do not include grasp or other reflex responses.|1-LOCALIZING: a painful stimulus at more than one site causes limb to move (even slightly) in an attempt to remove it. It is a deliberate motor act to move away from or remove the source of noxious stimulation. If there is doubt as to whether withdrawal or localization has occurred after 3 or 4 painful stimulations, rate as localization.|2-WITHDRAWING: any generalized movement away from a noxious stimulus that is more than a simple reflex response.|3-FLEXING: painful stimulation results in either flexion at the elbow, rapid withdrawal with abduction of the shoulder or a slow withdrawal with adduction of the shoulder. If there is confusion between flexing and withdrawing, then use pinprick on hands.|4-EXTENDING: painful stimulation results in extension of the limb.|5-NONE: no response can be elicited. Usually associated with hypotonia. Exclude spinal transection as an explanation of lack of response; be satisfied that an adequate stimulus has been applied.",,,,,,,,Adult,,NINDS:C07149,,,,,,,"Rappaport, M., Hall K.M., Hopkins, K., Belleza, T., Cope, D.N. (1982). Disability Rating Scale for Severe Head Trauma: Coma to Community. Archives of Physical Medicine and Rehabilitation, 63: 118-123.  The COMBI website (http://www.tbims.org/combi/drs/index.html) has further information on the instrument and becoming a certified DRS rater.",3,21:51.5,VERSION_DATE_MALFORMED,,,,,,,,Y,Basic,Y,Recommended,,,Outcomes and End Points,Global Outcome,,DRS,FALSE,CA|BCM,,v2 Joost,UNVERIFIED
C07150,Disability Rating Scale (DRS) - Feeding disability scale,DRSFdngDisbltyScale,,"Feeding (Cognitive ability only) disability indicator, as part of the Disability Rating Scale (DRS)",NINDS,DRS,NINDS,,,FEEDING (COGNITIVE ABILITY ONLY). Does the patient show awareness of how and when to perform this activity? Ignore motor disabilities that interfere with carrying out this function. (This is rated under Level of Functioning described below.) ,Value List,Numeric Values,,,Refer to instructions on form.,Single Pre-Defined Value Selected,collected,0.0|1.0|2.0|3.0,0.0=Complete|1.0=Partial|2.0=Minimal|3.0=None,"0-COMPLETE: continuously shows awareness that he knows how to feed and can convey unambiguous information that he knows when this activity should occur.|1-PARTIAL: intermittently shows awareness that he knows how to feed and/or can intermittently convey reasonably clearly information that he knows when the activity should occur.|2-MINIMAL: shows questionable or infrequent awareness that he knows in a primitive way how to feed and/or shows infrequently by certain signs, sounds, or activities that he is vaguely aware when the activity should occur.|3-NONE: shows virtually no awareness at any time that he knows how to feed and cannot convey information by signs, sounds, or activity that he knows when the activity should occur.",,,,,,,,Adult,,NINDS:C07150,,,,,,,"Rappaport, M., Hall K.M., Hopkins, K., Belleza, T., Cope, D.N. (1982). Disability Rating Scale for Severe Head Trauma: Coma to Community. Archives of Physical Medicine and Rehabilitation, 63: 118-123.  The COMBI website (http://www.tbims.org/combi/drs/index.html) has further information on the instrument and becoming a certified DRS rater.",3,21:51.5,VERSION_DATE_MALFORMED,,,,,,,,Y,Basic,Y,Recommended,,,Outcomes and End Points,Global Outcome,,DRS,FALSE,CA|BCM,,v2 Joost,UNVERIFIED
C07151,Disability Rating Scale (DRS) - Toileting disability scale,DRSToiltngDisbltyScale,,"Toileting (Cognitive ability only) disability indicator, as part of the Disability Rating Scale (DRS)",NINDS,DRS,NINDS,,,TOILETING (COGNITIVE ABILITY ONLY). Does the patient show awareness of how and when to perform this activity? Ignore motor disabilities that interfere with carrying out this function. (This is rated under Level of Functioning described below.) Rate best response for toileting based on bowel and bladder behavior,Value List,Numeric Values,,,Refer to instructions on form.,Single Pre-Defined Value Selected,collected,0.0|1.0|2.0|3.0,0.0=Complete|1.0=Partial|2.0=Minimal|3.0=None,"0-COMPLETE: continuously shows awareness that he knows how to toilet and can convey unambiguous information that he knows when this activity should occur.|1-PARTIAL: intermittently shows awareness that he knows how to toilet and/or can intermittently convey reasonably clearly information that he knows when the activity should occur.|2-MINIMAL: shows questionable or infrequent awareness that he knows in a primitive way how to toilet and/or shows infrequently by certain signs, sounds, or activities that he is vaguely aware when the activity should occur.|3-NONE: shows virtually no awareness at any time that he knows how to toilet and cannot convey information by signs, sounds, or activity that he knows when the activity should occur.",,,,,,,,Adult,,NINDS:C07151,,,,,,,"Rappaport, M., Hall K.M., Hopkins, K., Belleza, T., Cope, D.N. (1982). Disability Rating Scale for Severe Head Trauma: Coma to Community. Archives of Physical Medicine and Rehabilitation, 63: 118-123.",3,21:51.5,VERSION_DATE_MALFORMED,,,,,,,,Y,Basic,Y,Recommended,,,Outcomes and End Points,Global Outcome,,DRS,FALSE,CA|BCM,,v2 Joost,UNVERIFIED
C07152,Disability Rating Scale (DRS) - Grooming disability scale,DRSGrmngDisbltyScale,,"Grooming (Cognitive ability only) disability indicator, as part of the Disability Rating Scale (DRS)",NINDS,DRS,NINDS,,,"GROOMING (COGNITIVE ABILITY ONLY). Does the patient show awareness of how and when to perform this activity? Ignore motor disabilities that interfere with carrying out this function. (This is rated under Level of Functioning described below.) Grooming refers to bathing, washing, brushing of teeth, shaving, combing or brushing of hair and dressing.",Value List,Numeric Values,,,Refer to instructions on form.,Single Pre-Defined Value Selected,collected,0.0|1.0|2.0|3.0,0.0=Complete|1.0=Partial|2.0=Minimal|3.0=None,"0-COMPLETE: continuously shows awareness that he knows how to groom self and can convey unambiguous information that he knows when this activity should occur.|1-PARTIAL: intermittently shows awareness that he knows how to groom self and/or can intermittently convey reasonably clearly information that he knows when the activity should occur.|2-MINIMAL: shows questionable or infrequent awareness that he knows in a primitive way how to groom self and/or shows infrequently by certain signs, sounds, or activities that he is vaguely aware when the activity should occur.|3-NONE: shows virtually no awareness at any time that he knows how to groom self and cannot convey information by signs, sounds, or activity that he knows when the activity should occur.",,,,,,,,Adult,,NINDS:C07152,,,,,,,"Rappaport, M., Hall K.M., Hopkins, K., Belleza, T., Cope, D.N. (1982). Disability Rating Scale for Severe Head Trauma: Coma to Community. Archives of Physical Medicine and Rehabilitation, 63: 118-123.  The COMBI website (http://www.tbims.org/combi/drs/index.html) has further information on the instrument and becoming a certified DRS rater.",3,21:51.5,VERSION_DATE_MALFORMED,,,,,,,,Y,Basic,Y,Recommended,,,Outcomes and End Points,Global Outcome,,DRS,FALSE,CA|BCM,,v2 Joost,UNVERIFIED
C07153,Disability Rating Scale (DRS) - Function level scale,DRSFunctnLvlScale,,"Level of functioning (Physical, mental, emotional, or social function) disability indicator, as part of the Disability Rating Scale (DRS)",NINDS,DRS,NINDS,,,"LEVEL OF FUNCTIONING (PHYSICAL, MENTAL, EMOTIONAL OR SOCIAL FUNCTIONING)",Value List,Numeric Values,,,Refer to instructions on form.,Single Pre-Defined Value Selected,collected,0.0|1.0|2.0|3.0|4.0|5.0,"0.0-Completely Independent|1.0-Independent in special environment|2.0-Mildly Dependent-Limited assistance (non-resid - helper)|3.0-Moderately Dependent-moderate assist (person at home)|4.0-Markedly Dependent-assist all major activities, all times|5.0-Totally Dependent-24 hour nursing care.","0-COMPLETELY INDEPENDENT: able to live as he wishes, requiring no restriction due to physical, mental, emotional or social problems.|1-INDEPENDENT IN SPECIAL ENVIRONMENT: capable of functioning independently when needed requirements are met (mechanical aids)|2-MILDLY DEPENDENT: able to care for most of own needs but requires limited assistance due to physical, cognitive and/or emotional problems (e.g., needs non-resident helper).|3-MODERATELY DEPENDENT: able to care for self partially but needs another person at all times. (person in home)|4-MARKEDLY DEPENDENT: needs help with all major activities and the assistance of another person at all times.|5-TOTALLY DEPENDENT: not able to assist in own care and requires 24-hour nursing care.",,,,,,,,Adult,,NINDS:C07153,,,,,,,"Rappaport, M., Hall K.M., Hopkins, K., Belleza, T., Cope, D.N. (1982). Disability Rating Scale for Severe Head Trauma: Coma to Community. Archives of Physical Medicine and Rehabilitation, 63: 118-123.  The COMBI website (http://www.tbims.org/combi/drs/index.html) has further information on the instrument and becoming a certified DRS rater.",3,21:51.5,VERSION_DATE_MALFORMED,,,,,,,,Y,Basic,Y,Recommended,,,Outcomes and End Points,Global Outcome,,DRS,FALSE,CA|BCM,,v2 Joost,UNVERIFIED
C07154,Disability Rating Scale (DRS) - Employability patient scale,DRSEmplybltyPatScale,,"Employability (as a full time worker, homemaker, or student) disability indicator, as part of the Disability Rating Scale (DRS)",NINDS,DRS,NINDS,,,"""EMPLOYABILITY"" (AS A FULL TIME WORKER, HOMEMAKER, OR STUDENT)",Value List,Numeric Values,,,Refer to instructions on form.,Single Pre-Defined Value Selected,collected,0.0|1.0|2.0|3.0,"0.0=Not Restricted|1.0=Selected jobs, competitive|2.0=Sheltered workshop, Non competitive|3.0=Not Employable","0-NOT RESTRICTED: can compete in the open market for a relatively wide range of jobs commensurate with existing skills; or can initiate, plan execute and assume responsibilities associated with homemaking; or can understand and carry out most age relevant school assignments.|1-SELECTED JOBS, COMPETITIVE: can compete in a limited job market for a relatively narrow range of jobs because of limitations of the type described above and/or because of some physical limitations; or can initiate, plan, execute and assume many but not all responsibilities associated with homemaking; or can understand and carry out many but not all school assignments.|2-SHELTERED WORKSHOP, NON-COMPETITIVE: cannot compete successfully in a job market because of limitations described above and/or because of moderate or severe physical limitations; or cannot without major assistance initiate, plan, execute and assume responsibilities for homemaking; or cannot understand and carry out even relatively simple school assignments without assistance.|3-NOT EMPLOYABLE: completely unemployable because of extreme psychosocial limitations of the type described above, or completely unable to initiate, plan, execute and assume any responsibilities associated with homemaking; or cannot understand or carry out any school assignments.",,,,,,,,Adult,,NINDS:C07154,,,,,,,"Rappaport, M., Hall K.M., Hopkins, K., Belleza, T., Cope, D.N. (1982). Disability Rating Scale for Severe Head Trauma: Coma to Community. Archives of Physical Medicine and Rehabilitation, 63: 118-123.  The COMBI website (http://www.tbims.org/combi/drs/index.html) has further information on the instrument and becoming a certified DRS rater.",3,21:51.5,VERSION_DATE_MALFORMED,"The psychosocial adaptability or “employability” item takes into account overall cognitive and physical ability to be an employee, homemaker or student.
This determination should take into account considerations such as the following:
1. Able to understand, remember and follow instructions.
2. Can plan and carry out tasks at least at the level of an office clerk or in simple routine, repetitive industrial situation or can do school assignments.
3. Ability to remain oriented, relevant and appropriate in work and other psychosocial situations.
4. Ability to get to and from work or shopping centers using private or public transportation effectively.
5. Ability to deal with number concepts.
6. Ability to make purchases and handle simple money exchange problems
7. Ability to keep track of time and appointments",,,,,,,Y,Basic,Y,Recommended,,,Outcomes and End Points,Global Outcome,,DRS,FALSE,CA|BCM,,v2 Joost,UNVERIFIED
C07155,DRS Total Score,DRSTotalScore,,Total Score (0-29),NINDS,DRS,NINDS,,,composite score,Text,Numeric Values,,,Sum the individual item scores for A - H.  The score will range from 0 -29.,Free-Form Entry,calculation,,,,,,,,,0,29,Adult,,NINDS:C07155,,,,,,,"Rappaport, M., Hall K.M., Hopkins, K., Belleza, T., Cope, D.N. (1982). Disability Rating Scale for Severe Head Trauma: Coma to Community. Archives of Physical Medicine and Rehabilitation, 63: 118-123.  The COMBI website (http://www.tbims.org/combi/drs/index.html) has further information on the instrument and becoming a certified DRS rater.",3,21:51.5,VERSION_DATE_MALFORMED,,,,,,,,Y,Basic,Y,Recommended,,,Outcomes and End Points,Global Outcome,,DRS,FALSE,CA|BCM,,v2 Joost,UNVERIFIED
C07442,Satisfaction with Life Scale (SWLS) - Life close ideal score,SWLSLifClosIdlScore,,"Score of closeness between the subject's life and the ideal life, as part of the Satisfaction with Life Scale (SWLS).",NINDS,SWLS,NINDS,,,In most ways my life is close to my ideal.,Value List,Numeric Values,cde,FALSE,See instructions on form,Single Pre-Defined Value Selected,collected,1|2|3|4|5|6|7,1-Strongly Disagree|2-Disagree|3-Slightly Disagree|4-Neither agree nor disagree|5-Slightly agree|6-Agree|7-Strongly Agree,,,,,,,,,Adult,E1HpdYhqjQD,NINDS:C07442|BRICS Variable Name:SWLSLifClosIdlScore|NLM:E1HpdYhqjQD,,,,,,,"Diener E, Emmons R, Larsen J, Griffin S. The Satisfaction with Life Scale. J Personality Assessment 1985;49:71-75.",3,21:25.6,VERSION_DATE_MALFORMED,,,,,,,,Y,Basic,Y,Supplemental  ,,,Outcomes and End Points,Perceived Generic and Disease-Specific Health-Related Quality of Life,,SWLS,FALSE,CA|BCM,,v2 Joost,OK
C07443,Satisfaction with Life Scale (SWLS) - Life condition excellence score,SWLSLifCondExcllncScore,,"Score of subject's life condition, as part of the Satisfaction with Life Scale (SWLS).",NINDS,SWLS,NINDS,,,The conditions of my life are excellent.,Value List,Numeric Values,cde,FALSE,See instructions on form,Single Pre-Defined Value Selected,collected,1|2|3|4|5|6|7,1-Strongly Disagree|2-Disagree|3-Slightly Disagree|4-Neither agree nor disagree|5-Slightly agree|6-Agree|7-Strongly Agree,,,,,,,,,Adult,QtG1GeVKWQK,NINDS:C07443|BRICS Variable Name:SWLSLifCondExcllncScore|NLM:QtG1GeVKWQK,,,,,,,"Diener E, Emmons R, Larsen J, Griffin S. The Satisfaction with Life Scale. J Personality Assessment 1985;49:71-75.",3,21:25.6,VERSION_DATE_MALFORMED,,,,,,,,Y,Basic,Y,Supplemental  ,,,Outcomes and End Points,Perceived Generic and Disease-Specific Health-Related Quality of Life,,SWLS,FALSE,CA|BCM,,v2 Joost,OK
C07444,Satisfaction with Life Scale (SWLS) - Life satisfaction score,SWLSLifSatfctnScore,,"Score of subject's satisfaction with life, as part of the Satisfaction with Life Scale (SWLS).",NINDS,SWLS,NINDS,,,I am satisfied with my life.,Value List,Numeric Values,cde,FALSE,See instructions on form,Single Pre-Defined Value Selected,collected,1|2|3|4|5|6|7,1-Strongly Disagree|2-Disagree|3-Slightly Disagree|4-Neither agree nor disagree|5-Slightly agree|6-Agree|7-Strongly Agree,,,,,,,,,Adult,VuB2UAmWZZz,NINDS:C07444|BRICS Variable Name:SWLSLifSatfctnScore|NLM:VuB2UAmWZZz,,,,,,,"Diener E, Emmons R, Larsen J, Griffin S. The Satisfaction with Life Scale. J Personality Assessment 1985;49:71-75.",3,21:25.6,VERSION_DATE_MALFORMED,,,,,,,,Y,Basic,Y,Supplemental  ,,,Outcomes and End Points,Perceived Generic and Disease-Specific Health-Related Quality of Life,,SWLS,FALSE,CA|BCM,,v2 Joost,OK
C07445,Satisfaction with Life Scale (SWLS) - Life achievement score,SWLSLifAchvmntScore,,"Score of subject's achievement in life, as part of the Satisfaction with Life Scale (SWLS).",NINDS,SWLS,NINDS,,,So far I have gotten the important thigns I want in life.,Value List,Numeric Values,cde,FALSE,See instructions on form,Single Pre-Defined Value Selected,collected,1|2|3|4|5|6|7,1-Strongly Disagree|2-Disagree|3-Slightly Disagree|4-Neither agree nor disagree|5-Slightly agree|6-Agree|7-Strongly Agree,,,,,,,,,Adult,c9y2g6tCVay,NINDS:C07445|BRICS Variable Name:SWLSLifAchvmntScore|NLM:c9y2g6tCVay,,,,,,,"Diener E, Emmons R, Larsen J, Griffin S. The Satisfaction with Life Scale. J Personality Assessment 1985;49:71-75.",3,21:25.6,VERSION_DATE_MALFORMED,,,,,,,,Y,Basic,Y,Supplemental  ,,,Outcomes and End Points,Perceived Generic and Disease-Specific Health-Related Quality of Life,,SWLS,FALSE,CA|BCM,,v2 Joost,OK
C07446,Satisfaction with Life Scale (SWLS) - Life change score,SWLSLifChngScore,,"Score of subject's wish to change anything, as part of the Satisfaction with Life Scale (SWLS).",NINDS,SWLS,NINDS,,,If I could live my life over I would change almost nothing.,Value List,Numeric Values,cde,FALSE,See instructions on form,Single Pre-Defined Value Selected,collected,1|2|3|4|5|6|7,1-Strongly Disagree|2-Disagree|3-Slightly Disagree|4-Neither agree nor disagree|5-Slightly agree|6-Agree|7-Strongly Agree,,,,,,,,,Adult,uCm2sv1fVjw,NINDS:C07446|BRICS Variable Name:SWLSLifChngScore|NLM:uCm2sv1fVjw,,,,,,,"Diener E, Emmons R, Larsen J, Griffin S. The Satisfaction with Life Scale. J Personality Assessment 1985;49:71-75.",3,21:25.6,VERSION_DATE_MALFORMED,,,,,,,,Y,Basic,Y,Supplemental  ,,,Outcomes and End Points,Perceived Generic and Disease-Specific Health-Related Quality of Life,,SWLS,FALSE,CA|BCM,,v2 Joost,OK
C07447,Satisfaction with Life Scale (SWLS )- Total score,SWLSTotalScore,,"Total sum of the responses to the five items (5-35), as part of the Satisfaction with Life Scale (SWLS).",NINDS,SWLS,NINDS,,,,Number,Numeric Values,cde,FALSE,Scores range from 7 - 35. Higher scores indicate better satisfaction with life.,Free-Form Entry,calculation,,,,,,,,,5,35,Adult,6EE_jS71Us1,NINDS:C07447|BRICS Variable Name:SWLSTotalScore|NLM:6EE_jS71Us1,,,,,,,"Diener E, Emmons R, Larsen J, Griffin S. The Satisfaction with Life Scale. J Personality Assessment 1985;49:71-75.",3,21:25.6,VERSION_DATE_MALFORMED,,,,,,,,Y,Basic,Y,Supplemental  ,,,Outcomes and End Points,Perceived Generic and Disease-Specific Health-Related Quality of Life,,SWLS,FALSE,CA|BCM,,v2 Joost,OK
C04813,Return work school status,RtrnWrkSchlStatus,,Status of participant's/subject's return to work and/or school,NINDS,,NINDS,,,Return to work or school (choose one):,Value List,Alphanumeric,cde,FALSE,Choose one. Recommend collection at least at end of initial medical care. Add date stamp for when assessed.,Single Pre-Defined Value Selected,collected,,"Returned to previous level|Same work or school, reduced level|Different work or school|Only in sheltered environment|Did not return to work or school|N/A|Unknown","Returned to previous level|Same work or school, reduced level|Different work or school|Only in sheltered environment|Did not return to work or school|N/A|Unknown",,,,,,,,Adult | Pediatric,QJYx4Cm2Rgy,NINDS:C04813|BRICS Variable Name:RtrnWrkSchlStatus|NLM:QJYx4Cm2Rgy,,,,,,,,3,7/20/13,,,,,,,,,Y,Basic,Y,Core,,,Outcomes and End Points,Post Discharge Status,,TBI Treatment History: Discharge Information,FALSE,BCM,,v2 Joost,OK
C06005,Data collected date and time,DataCollDateTime,,"Date (and time, if applicable and known) the data were collected. This may be the date/time a particular examination or procedure was performed.",NINDS,,NINDS,,,Date form completed,Date,Date or Date & Time,cde,FALSE,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",Free-Form Entry,collected,,,,,,,,,,,Adult | Pediatric,vc5uSf7AFnV,NINDS:C06005|BRICS Variable Name:DataCollDateTime|NLM:vc5uSf7AFnV,,,,,,,,3,8/28/13,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",Y,Core,,,,,Y,Core,Y,Core,,,Protocol Experience,Study Management,,Seizure Classification,FALSE,CA,,v2 Joost,OK
C14134,Data valid through date and time,DataValidThroughDateTime,,"Date (and time, if applicable and known) the data collected are valid through",NINDS,,NINDS,,,Information complete up to,Date,Date or Date & Time,,FALSE,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",Free-Form Entry,collected,,,,,,,,,,,Adult | Pediatric,,,,,,,,,,3,8/28/13,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",Y,Core,,,,,Y,Core,Y,Core,,,Protocol Experience,Study Management,,Seizure Classification,FALSE,CA,,v2 Joost,NEED
C58581,Seizure epilepsy classification type,SeizEpilepsyClassTyp,,The type of epileptic seizure(s) the participant/subject experiences,NINDS,,NINDS,,,Classification of seizures,Value List,Alphanumeric,cde,FALSE,"Check all that apply. It is possible for a participant/subject to have more than one seizure type. Individuals will be presumed to have a single epilepsy seizure type (focal or generalized) unless they have evidence to the contrary or they have a syndrome that is typically associated with both focal and generalized seizures. If a seizure cannot be adequately classified, it should not be fit into a category to which it does not belong. Focal - complete questions for focal seizure subtypes. Generalized - complete questions for Generalized seizure subtypes. Unclassified - complete questions for Unclassified seizure subtype.  ",Multiple Pre-Defined Values Selected,collected,,Generalized|Focal|Unclassified|Unknown if generalized or focal,Generalized|Focal|Unclassified seizures are considered unidentifiable due to lack of data and do not fit in to the aforementioned categories for Generalized and Focal Seizures|Unknown if generalized or focal,,,,,,,,Adult | Pediatric,71x_Fidp6L,NINDS:C58581|BRICS Variable Name:SeizEpilepsyClassTyp|NLM:71x_Fidp6L,,,,,,,"https://www.ilae.org/_x000D_
Fisher RS, Cross JH, French JA, Higurashi N, Hirsch E, Jansen FE, Lagae L, Mosh√© SL, Peltola J, Roulet Perez E, Scheffer IE, Zuberi SM. Operational classification of seizure types by the International League Against Epilepsy: Position Paper of the ILAE Commission for Classification and Terminology. Epilepsia 2017;58(4):522‚Äì530.  _x000D_
Fisher RS, Cross JH, D'Souza C, French JA, Haut SR, Higurashi N, Hirsch E, Jansen FE, Lagae L, Mosh√© SL, Peltola J, Roulet Perez E, Scheffer IE, Schulze-Bonhage A, Somerville E, Sperling M, Yacubian EM, Zuberi SM. Instruction manual for the ILAE 2017 operational classification of seizure types. Epilepsia 2017;58(4):531‚Äì542.",3,8/28/13,,,Y,Core,,,,,Y,Core,Y,Core,,,Disease/Injury Related Events,Classification,,Seizure Classification,FALSE,CA,,v2 Joost,OK
C58583,Seizure epilepsy focal classification type,SeizEpilepsyFocClassTyp,,"The type of focal epileptic seizures, considered to originate within networks limited to one hemisphere, which may be discretely localized or more widely distributed, and may originate in subcortical structures, experience by the participant/subject.",NINDS,,NINDS,,,Focal Seizure Subtypes (Per degree of impairment),Value List,Alphanumeric,cde,FALSE,"It is possible for a participant/subject to have more than one seizure type.  If a seizure cannot be adequately classified, it should not be fit into a category to which it does not belong. For each seizure type, ictal onset is consistent from one seizure to another with preferential propagation patterns, which can involve the contralateral hemisphere. In some cases, however, there is more than one epileptogenic network, and more than one seizure type, but each individual seizure type has a consistent site of onset. Focal seizures do not fall into any recognized set of natural classes based on any current understanding of the mechanisms involved. Tonic, clonic, atonic and epileptic spasm: When these seizure types occur in patients with combined focal and generalized epilepsy, it is often difficult to determine whether their onset is focal or generalized. Unless captured on EEG with a clear focal or generalized onset, please use the Unknown Onset box in these cases. (e.g., Lennox Gastaut Syndrome). Focal Impaired Awareness: This categorization should be used if a subject has focal seizure and they have confusion or difficulty understanding their environment or difficulty remembering what has occurred even in the absence of an altered level of consciousness.",Multiple Pre-Defined Values Selected,collected,,"Focal aware|Focal Impaired Awareness|Focal to bilateral, tonic clonic seizure|Focal, unknown awareness|Focal onset Clonic|Focal onset Tonic|Focal onset Atonic|Focal onset Epileptic spasm","Focal aware (without impairment of awareness)|Focal Impaired Awareness (with impairment of awareness (roughly corresponds to the the concept of ''complex partial seizure''))|Focal to bilateral, tonic clonic seizure (involving tonic, folowed by clonic movements, replaces the term ''secondarily generalized seizure'')|Focal, unknown awareness|Focal onset Clonic|Focal onset Tonic|Focal onset Atonic|Focal onset Epileptic spasm",,,,,,,,Adult | Pediatric,mJb_Fi_66U,NINDS:C58583|BRICS Variable Name:SeizEpilepsyFocClassTyp|NLM:mJb_Fi_66U,,,,,,,"https://www.ilae.org/_x000D_
Fisher RS, Cross JH, French JA, Higurashi N, Hirsch E, Jansen FE, Lagae L, Mosh√© SL, Peltola J, Roulet Perez E, Scheffer IE, Zuberi SM. Operational classification of seizure types by the International League Against Epilepsy: Position Paper of the ILAE Commission for Classification and Terminology. Epilepsia 2017;58(4):522‚Äì530.  _x000D_
Fisher RS, Cross JH, D'Souza C, French JA, Haut SR, Higurashi N, Hirsch E, Jansen FE, Lagae L, Mosh√© SL, Peltola J, Roulet Perez E, Scheffer IE, Schulze-Bonhage A, Somerville E, Sperling M, Yacubian EM, Zuberi SM. Instruction manual for the ILAE 2017 operational classification of seizure types. Epilepsia 2017;58(4):531‚Äì542.",3,8/28/13,,,Y,Recommended,,,,,Y,Recommended,Y,Recommended,,,Disease/Injury Related Events,Classification,,Seizure Classification,FALSE,CA,,v2 Joost,OK
